department,bio_gdd_spring,hydric_precip_spring,stress_heat_days,stress_shock_days,risk_frost_april,risk_wet_harvest,risk_heavy_rain_july,bio_vernalization_days,bio_aridity_index,bio_compound_stress_days,datetime,year,log_time,pred_baseline,pred_anomaly,predicted_yield
Ain,2045.6191,0.008281346,16,0,6,0.0020466058,0,56,0.00038511978,16,2015-01-01,2015,3.5263605246161616,6.293731317134707,-0.16905185039257947,6.124679466742128
Aisne,2110.535,0.0077444715,15,9,2,0.001554567,0,56,0.0003493124,15,2015-01-01,2015,3.5263605246161616,7.525013208020651,-0.02903292800815948,7.495980280012492
Allier,2052.206,0.0100500705,15,1,6,0.0011270766,0,57,0.0004687784,15,2015-01-01,2015,3.5263605246161616,5.756886496422241,-0.1724376291207945,5.584448867301447
Alpes_Maritimes,1389.395,0.013147937,0,0,7,0.0016056944,0,20,0.0007549917,0,2015-01-01,2015,3.5263605246161616,4.034129251220898,-0.07408643066669712,3.960042820554201
Alpes_de_Haute_Provence,1407.326,0.010107825,0,0,11,0.0013911669,0,7,0.0006080722,0,2015-01-01,2015,3.5263605246161616,3.6936855240602138,0.05978162384382497,3.753467147904039
Ardeche,1755.3132,0.012749181,6,0,7,0.00243606,0,48,0.00065373036,6,2015-01-01,2015,3.5263605246161616,3.30795129001914,-0.053192311453875034,3.254758978565265
Ardennes,2048.293,0.0051129786,15,3,4,0.00096219237,0,56,0.00023473785,15,2015-01-01,2015,3.5263605246161616,7.203939576922041,0.007118215881965274,7.211057792804006
Ariege,1386.6823,0.020764656,0,0,12,0.002582017,0,19,0.0012158602,0,2015-01-01,2015,3.5263605246161616,4.8350701933349605,-0.04736738972563294,4.787702803609328
Aube,2172.3154,0.005388773,19,7,3,0.0007093409,0,58,0.000239681,19,2015-01-01,2015,3.5263605246161616,7.273281248429531,0.04172197905018923,7.31500322747972
Aude,2227.9531,0.0076767653,18,2,2,0.00079105847,0,59,0.0003260188,18,2015-01-01,2015,3.5263605246161616,4.669280837317713,0.04874324420974927,4.718024081527462
Aveyron,1929.6105,0.015259471,12,0,7,0.0015188981,0,54,0.0007366306,12,2015-01-01,2015,3.5263605246161616,4.661980808570727,-0.17004774250143978,4.491933066069286
